label,dimension,selected,catlevel1,catlevel2
brand,ga:dimension1,0,,
virtualPageUrl,ga:dimension2,0,,
pageName,ga:dimension3,0,,
langage,ga:dimension4,0,,
country,ga:dimension5,0,,
siteTypeLevel1,ga:dimension6,0,,
siteTypeLevel2,ga:dimension7,0,,
vehicleModelBodyStyle,ga:dimension8,0,,
vehicleModelBodyStyleLabel,ga:dimension9,1,configuration,véhicule
vehicleId,ga:dimension10,0,,
vehicleDoorsNumber,ga:dimension11,1,configuration,véhicule
vehicleSeatsNumber,ga:dimension12,0,configuration,véhicule
vehicleCO2,ga:dimension13,0,,
vehicleDiscount,ga:dimension14,0,,
vehicleFuel,ga:dimension15,1,configuration,véhicule
vehiculeVersionId,ga:dimension16,0,,
carVersionId,ga:dimension17,0,,
vehicleFinition,ga:dimension18,0,,
vehicleFinitionLabel,ga:dimension19,1,configuration,personnalisation
vehicleMotor,ga:dimension20,0,,
vehiculeMotorLabel,ga:dimension21,1,configuration,véhicule
vehicleGearBox,ga:dimension22,0,,
vehicleGearBoxLabel,ga:dimension23,0,,
vehicleConceptionBase,ga:dimension24,0,,
vehicleConceptionBaseLabel,ga:dimension25,0,,
vehicleConceptionClient,ga:dimension26,0,,
vehicleConceptionClientLabel,ga:dimension27,0,,
vehicleMajDevIndex,ga:dimension28,0,,
vehicleMajDevIndexLabel,ga:dimension29,0,,
vehicleMinDevIndex,ga:dimension30,0,,
vehicleMinDevIndexLabel,ga:dimension31,0,,
vehicleExtCladding,ga:dimension32,0,,
vehicleExtCladdingLabel,ga:dimension33,0,,
vehicleBodyColor,ga:dimension34,0,,
vehicleBodyColorLabel,ga:dimension35,1,configuration,personnalisation
vehicleIntCladding,ga:dimension36,0,,
vehicleIntCladdingLabel,ga:dimension37,0,,
vehicleColorFilling,ga:dimension38,0,,
vehicleColorFillingLabel,ga:dimension39,0,,
vehiclePriceCatalogue,ga:dimension40,0,,
vehiclePriceCatalogueCurrency,ga:dimension41,0,,
vehiclePriceFinal,ga:dimension42,1,configuration,véhicule
vehiclePriceFinalCurrency,ga:dimension43,0,,
vehicleRegistration,ga:dimension44,0,,
vehicleKm,ga:dimension45,1,configuration,véhicule
vehicleKmRent,ga:dimension46,0,,
kmFormat,ga:dimension47,0,,
vehicleAccessoriesSelected,ga:dimension48,0,,
scoringVisit,ga:dimension49,0,,
edealerName,ga:dimension50,1,concessionnaire,
edealerSiteGeo,ga:dimension51,0,,
edealerId,ga:dimension52,1,concessionnaire,
edealerCity,ga:dimension53,0,,
edealerIdLocal,ga:dimension54,0,,
edealerAddress,ga:dimension55,0,,
edealerPostalCode,ga:dimension56,1,concessionnaire,
edealerRegion,ga:dimension57,1,concessionnaire,
edealerPdv,ga:dimension58,0,,
edealerCountry,ga:dimension59,0,,
uiGender,ga:dimension60,1,client,
uiPostalCode,ga:dimension61,1,client,
uiCity,ga:dimension62,0,,
uiLogged,ga:dimension63,1,client,
uiState,ga:dimension64,0,,
uiBirthday,ga:dimension65,1,client,
uiExpectedPurchase,ga:dimension66,1,client,
formsLeadId,ga:dimension67,1,formulaire,
formsLeadType,ga:dimension68,1,formulaire,
formsKind,ga:dimension69,1,formulaire,
formsName,ga:dimension70,1,formulaire,
newsletterOptin,ga:dimension71,1,client,
partnerOptin,ga:dimension72,0,,
callbackTimeSlot,ga:dimension73,0,,
internalSearchKeyword,ga:dimension74,0,,
internalSearchType,ga:dimension75,0,,
accessoryQuantity,ga:dimension76,0,configuration,accessoire
accessoryTax,ga:dimension77,0,,
accessoryTotalOrderValue,ga:dimension78,0,,
accessoryTransactionId,ga:dimension79,0,,
accessoryShippingCost,ga:dimension80,0,,
accessoryShippingType,ga:dimension81,0,,
accessoryCurrencyCode,ga:dimension82,0,,
accessorySku,ga:dimension83,0,,
accessoryDesignation,ga:dimension84,0,,
accessoryCompDesignation,ga:dimension85,0,,
accessoryBusinessName,ga:dimension86,1,configuration,accessoire
accessoryProductCategorySlevel,ga:dimension87,0,,
accessoryProductCategoryLevel,ga:dimension88,0,,
accessoryProductPrice,ga:dimension89,0,,
mainStepIndicator,ga:dimension90,0,,
mainStepName,ga:dimension91,0,,
range,ga:dimension92,0,,
