label,dimension,selected,catlevel1,catlevel2
userType,ga:userType,1,client,
sessionCount,ga:sessionCount,1,client,
daysSinceLastSession,ga:daysSinceLastSession,1,client,
userDefinedValue,ga:userDefinedValue,0,,
sessionDurationBucket,ga:sessionDurationBucket,0,,
referralPath,ga:referralPath,0,,
fullReferrer,ga:fullReferrer,0,,
campaign,ga:campaign,0,,
source,ga:source,0,,
medium,ga:medium,1,session,
sourceMedium,ga:sourceMedium,0,,
keyword,ga:keyword,0,,
adContent,ga:adContent,0,,
socialNetwork,ga:socialNetwork,0,,
hasSocialSourceReferral,ga:hasSocialSourceReferral,0,,
campaignCode,ga:campaignCode,0,,
adGroup,ga:adGroup,0,,
adSlot,ga:adSlot,0,,
adSlotPosition,ga:adSlotPosition,0,,
adDistributionNetwork,ga:adDistributionNetwork,0,,
adMatchType,ga:adMatchType,0,,
adKeywordMatchType,ga:adKeywordMatchType,0,,
adMatchedQuery,ga:adMatchedQuery,0,,
adPlacementDomain,ga:adPlacementDomain,0,,
adPlacementUrl,ga:adPlacementUrl,0,,
adFormat,ga:adFormat,0,,
adTargetingType,ga:adTargetingType,0,,
adTargetingOption,ga:adTargetingOption,0,,
adDisplayUrl,ga:adDisplayUrl,0,,
adDestinationUrl,ga:adDestinationUrl,0,,
adwordsCustomerID,ga:adwordsCustomerID,0,,
adwordsCampaignID,ga:adwordsCampaignID,0,,
adwordsAdGroupID,ga:adwordsAdGroupID,0,,
adwordsCreativeID,ga:adwordsCreativeID,0,,
adwordsCriteriaID,ga:adwordsCriteriaID,0,,
isTrueViewVideoAd,ga:isTrueViewVideoAd,0,,
goalCompletionLocation,ga:goalCompletionLocation,0,goal,
goalPreviousStep1,ga:goalPreviousStep1,0,,
goalPreviousStep2,ga:goalPreviousStep2,0,,
goalPreviousStep3,ga:goalPreviousStep3,0,,
browser,ga:browser,0,,
browserVersion,ga:browserVersion,0,,
operatingSystem,ga:operatingSystem,0,,
operatingSystemVersion,ga:operatingSystemVersion,0,,
mobileDeviceBranding,ga:mobileDeviceBranding,0,,
mobileDeviceModel,ga:mobileDeviceModel,0,,
mobileInputSelector,ga:mobileInputSelector,0,,
mobileDeviceInfo,ga:mobileDeviceInfo,0,,
mobileDeviceMarketingName,ga:mobileDeviceMarketingName,0,,
deviceCategory,ga:deviceCategory,1,device,
continent,ga:continent,0,,
subContinent,ga:subContinent,0,,
country,ga:country,0,,
region,ga:region,0,geography,
metro,ga:metro,0,,
city,ga:city,0,,
latitude,ga:latitude,0,,
longitude,ga:longitude,0,,
networkDomain,ga:networkDomain,0,,
networkLocation,ga:networkLocation,0,,
flashVersion,ga:flashVersion,0,,
javaEnabled,ga:javaEnabled,0,,
language,ga:language,0,,
screenColors,ga:screenColors,0,,
sourcePropertyDisplayName,ga:sourcePropertyDisplayName,0,,
sourcePropertyTrackingId,ga:sourcePropertyTrackingId,0,,
screenResolution,ga:screenResolution,0,,
socialActivityEndorsingUrl,ga:socialActivityEndorsingUrl,0,,
socialActivityDisplayName,ga:socialActivityDisplayName,0,,
socialActivityPost,ga:socialActivityPost,0,,
socialActivityTimestamp,ga:socialActivityTimestamp,0,,
socialActivityUserHandle,ga:socialActivityUserHandle,0,,
socialActivityUserPhotoUrl,ga:socialActivityUserPhotoUrl,0,,
socialActivityUserProfileUrl,ga:socialActivityUserProfileUrl,0,,
socialActivityContentUrl,ga:socialActivityContentUrl,0,,
socialActivityTagsSummary,ga:socialActivityTagsSummary,0,,
socialActivityAction,ga:socialActivityAction,0,,
socialActivityNetworkAction,ga:socialActivityNetworkAction,0,,
hostname,ga:hostname,0,,
pagePath,ga:pagePath,0,,
pagePathLevel1,ga:pagePathLevel1,0,,
pagePathLevel2,ga:pagePathLevel2,0,,
pagePathLevel3,ga:pagePathLevel3,0,,
pagePathLevel4,ga:pagePathLevel4,0,,
pageTitle,ga:pageTitle,1,navigation,
landingPagePath,ga:landingPagePath,0,,
secondPagePath,ga:secondPagePath,0,,
exitPagePath,ga:exitPagePath,0,,
previousPagePath,ga:previousPagePath,0,,
nextPagePath,ga:nextPagePath,0,,
pageDepth,ga:pageDepth,0,,
searchUsed,ga:searchUsed,0,,
searchKeyword,ga:searchKeyword,0,,
searchKeywordRefinement,ga:searchKeywordRefinement,0,,
searchCategory,ga:searchCategory,0,,
searchStartPage,ga:searchStartPage,0,,
searchDestinationPage,ga:searchDestinationPage,0,,
